latitude,longitude
34.22338, 108.94683
34.22330, 108.94683
34.22327, 108.94683
34.22331, 108.94683
34.22341, 108.94683
34.22347, 108.94683
34.22357, 108.94683
34.22370, 108.94683
34.22384, 108.94683
34.22392, 108.94683
34.22401, 108.94683
34.22411, 108.94683
34.22418, 108.94683
34.22427, 108.94683
34.22441, 108.94683
34.22454, 108.94684
34.22467, 108.94684
34.22475, 108.94684
34.22491, 108.94684
34.22499, 108.94684
34.22519, 108.94684
34.22540, 108.94684
34.22570, 108.94685
34.22594, 108.94685
34.22614, 108.94685
34.22634, 108.94685
34.22655, 108.94686
34.22676, 108.94686
34.22695, 108.94694
34.22714, 108.94694
34.22735, 108.94694
34.22763, 108.94695
34.22783, 108.94695
34.22844, 108.94688
34.22878, 108.94688
34.22911, 108.94687
34.22946, 108.94696
34.22953, 108.94715
34.22955, 108.94730
34.22955, 108.94748
34.22956, 108.94773
34.22956, 108.94801
34.22956, 108.94827
34.22959, 108.94854
34.22968, 108.94879
34.22979, 108.94900
34.22991, 108.94925
34.23003, 108.94949
34.23005, 108.94981
34.23005, 108.95014
34.23003, 108.95048
34.23002, 108.95075
34.23002, 108.95105
34.23001, 108.95142
34.23001, 108.95181
34.23000, 108.95225
34.23000, 108.95269
34.22999, 108.95312
34.22999, 108.95355
34.22999, 108.95400
34.22999, 108.95442
34.22999, 108.95480
34.22999, 108.95512
34.22999, 108.95541
34.22999, 108.95569
34.22999, 108.95598
34.22999, 108.95627
34.22999, 108.95661
34.22999, 108.95693
34.23003, 108.95721
34.23003, 108.95752
34.23000, 108.95784
34.23001, 108.95822
34.23001, 108.95859
34.23001, 108.95897
34.23001, 108.95935
34.23001, 108.95971
34.23001, 108.96006
34.23001, 108.96039
34.23003, 108.96070
34.22998, 108.96101
34.22989, 108.96142
34.22992, 108.96172
34.22990, 108.96210
34.22990, 108.96250
34.22990, 108.96290
34.22990, 108.96330
34.22989, 108.96370
34.22990, 108.96432
34.22991, 108.96475
34.22994, 108.96521
34.23001, 108.96564
34.23016, 108.96606
34.23031, 108.96641
34.23046, 108.96680
34.23060, 108.96713
34.23075, 108.96738
34.23084, 108.96770
34.23085, 108.96798
34.23085, 108.96812
34.23086, 108.96828
34.23090, 108.96838
34.23099, 108.96856
34.23102, 108.96863
34.23113, 108.96886
34.23124, 108.96911
34.23137, 108.96940
34.23149, 108.96969
34.23164, 108.97004
34.23180, 108.97040
34.23195, 108.97078
34.23205, 108.97115
34.23213, 108.97147
34.23218, 108.97181
34.23225, 108.97206
34.23266, 108.97307
34.23272, 108.97325
34.23272, 108.97341
34.23268, 108.97348
34.23279, 108.97368
34.23295, 108.97383
34.23303, 108.97392
34.23308, 108.97404
34.23319, 108.97429
34.23330, 108.97455
34.23338, 108.97472
34.23345, 108.97488
34.23349, 108.97496
34.23355, 108.97510
