latitude,longitude
34.27019, 108.93294
34.27031, 108.93295
34.27063, 108.93296
34.27083, 108.93297
34.27106, 108.93298
34.27126, 108.93299
34.27145, 108.93299
34.27166, 108.93300
34.27191, 108.93301
34.27221, 108.93302
34.27248, 108.93302
34.27275, 108.93302
34.27298, 108.93302
34.27317, 108.93303
34.27328, 108.93303
34.27339, 108.93303
34.27350, 108.93303
34.27361, 108.93309
34.27361, 108.93336
34.27360, 108.93345
34.27360, 108.93371
34.27360, 108.93392
34.27360, 108.93417
34.27360, 108.93443
34.27360, 108.93488
34.27360, 108.93500
34.27360, 108.93522
34.27360, 108.93541
34.27361, 108.93565
34.27361, 108.93587
34.27361, 108.93609
34.27361, 108.93629
34.27360, 108.93647
34.27359, 108.93660
34.27358, 108.93681
34.27358, 108.93691
34.27358, 108.93707
34.27358, 108.93721
34.27357, 108.93749
34.27357, 108.93770
34.27357, 108.93790
34.27357, 108.93807
34.27357, 108.93819
34.27357, 108.93838
34.27357, 108.93856
34.27357, 108.93874
34.27358, 108.93891
34.27360, 108.93913
34.27360, 108.93933
34.27360, 108.93955
34.27361, 108.93979
34.27360, 108.94002
34.27360, 108.94026
34.27360, 108.94050
34.27360, 108.94074
34.27360, 108.94096
34.27360, 108.94112
34.27360, 108.94121
34.27360, 108.94132
34.27360, 108.94155
34.27360, 108.94165
34.27360, 108.94182
34.27360, 108.94208
34.27360, 108.94224
34.27360, 108.94242
34.27360, 108.94252
34.27360, 108.94262
34.27360, 108.94276
34.27360, 108.94297
34.27360, 108.94306
34.27361, 108.94321
34.27361, 108.94334
34.27361, 108.94345
34.27361, 108.94362
34.27361, 108.94380
34.27361, 108.94403
34.27361, 108.94426
34.27361, 108.94439
34.27361, 108.94454
34.27361, 108.94474
34.27361, 108.94499
34.27361, 108.94526
34.27361, 108.94556
34.27361, 108.94587
34.27361, 108.94617
34.27361, 108.94640
34.27361, 108.94650
34.27362, 108.94667
34.27362, 108.94679
34.27362, 108.94692
34.27362, 108.94719
34.27362, 108.94738
34.27363, 108.94748
34.27364, 108.94766
34.27364, 108.94791
34.27364, 108.94810
34.27364, 108.94822
34.27364, 108.94848
34.27364, 108.94869
34.27364, 108.94882
34.27364, 108.94898
34.27365, 108.94928
34.27365, 108.94938
34.27365, 108.94950
34.27366, 108.94966
34.27366, 108.94984
