latitude,longitude
34.25552, 108.94132
34.25553, 108.94121
34.25554, 108.94102
34.25555, 108.94078
34.25557, 108.94051
34.25559, 108.94016
34.25561, 108.93976
34.25563, 108.93944
34.25565, 108.93922
34.25571, 108.93912
34.25587, 108.93912
34.25604, 108.93912
34.25621, 108.93912
34.25635, 108.93912
34.25649, 108.93911
34.25663, 108.93911
34.25680, 108.93911
34.25698, 108.93911
34.25719, 108.93912
34.25728, 108.93912
34.25735, 108.93912
34.25751, 108.93912
34.25758, 108.93912
34.25765, 108.93912
34.25774, 108.93912
34.25782, 108.93912
34.25786, 108.93912
34.25794, 108.93913
34.25810, 108.93913
34.25823, 108.93913
34.25836, 108.93913
34.25853, 108.93913
34.25869, 108.93913
34.25877, 108.93913
34.25890, 108.93913
34.25899, 108.93913
34.25910, 108.93913
34.25920, 108.93913
34.25928, 108.93913
34.25932, 108.93924
34.25932, 108.93941
34.25932, 108.93956
34.25931, 108.93965
34.25931, 108.93975
34.25931, 108.93989
34.25931, 108.93998
34.25930, 108.94017
34.25930, 108.94033
34.25929, 108.94049
34.25929, 108.94064
34.25929, 108.94074
34.25928, 108.94091
34.25928, 108.94103
34.25928, 108.94113
34.25927, 108.94127
34.25927, 108.94137
34.25927, 108.94149
34.25927, 108.94160
34.25927, 108.94177
34.25927, 108.94199
34.25926, 108.94223
34.25926, 108.94251
34.25925, 108.94284
34.25925, 108.94316
34.25925, 108.94349
34.25924, 108.94381
34.25924, 108.94408
34.25923, 108.94436
34.25923, 108.94467
34.25922, 108.94499
34.25922, 108.94528
34.25922, 108.94553
34.25922, 108.94571
34.25922, 108.94581
34.25922, 108.94591
34.25922, 108.94602
34.25922, 108.94614
34.25923, 108.94624
34.25925, 108.94633
34.25928, 108.94649
34.25918, 108.94660
34.25912, 108.94666
34.25907, 108.94675
34.25901, 108.94690
34.25900, 108.94706
34.25901, 108.94715
34.25904, 108.94723
34.25908, 108.94731
34.25913, 108.94738
34.25920, 108.94745
34.25938, 108.94759
34.25952, 108.94765
34.25952, 108.94767
34.25964, 108.94744
34.25978, 108.94731
34.26008, 108.94715
34.26042, 108.94716
34.26081, 108.94717
34.26104, 108.94717
34.26116, 108.94717
34.26151, 108.94717
34.26185, 108.94717
34.26224, 108.94717
34.26261, 108.94717
34.26292, 108.94718
34.26322, 108.94718
34.26349, 108.94719
34.26365, 108.94719
34.26376, 108.94720
34.26382, 108.94720
34.26377, 108.94720
34.26372, 108.94720
34.26378, 108.94720
34.26396, 108.94720
34.26409, 108.94720
34.26418, 108.94720
34.26426, 108.94720
34.26434, 108.94720
34.26445, 108.94721
34.26463, 108.94721
34.26485, 108.94721
34.26508, 108.94721
34.26527, 108.94721
34.26536, 108.94722
34.26555, 108.94722
34.26576, 108.94722
34.26627, 108.94722
34.26639, 108.94722
34.26649, 108.94723
