latitude,longitude
34.27741, 108.97642
34.27742, 108.97654
34.27742, 108.97667
34.27742, 108.97686
34.27743, 108.97700
34.27743, 108.97709
34.27744, 108.97724
34.27744, 108.97740
34.27752, 108.97753
34.27752, 108.97743
34.27752, 108.97729
34.27751, 108.97702
34.27751, 108.97688
34.27751, 108.97664
34.27751, 108.97648
34.27750, 108.97636
34.27750, 108.97616
34.27749, 108.97593
34.27749, 108.97573
34.27749, 108.97561
34.27749, 108.97551
34.27750, 108.97539
34.27753, 108.97522
34.27754, 108.97511
34.27754, 108.97500
34.27754, 108.97485
34.27753, 108.97464
34.27753, 108.97442
34.27752, 108.97426
34.27752, 108.97412
34.27752, 108.97398
34.27752, 108.97386
34.27751, 108.97377
34.27751, 108.97359
34.27751, 108.97345
34.27750, 108.97336
34.27750, 108.97320
34.27750, 108.97310
34.27750, 108.97294
34.27750, 108.97284
34.27749, 108.97265
34.27729, 108.97235
34.27718, 108.97235
34.27696, 108.97237
34.27679, 108.97238
34.27662, 108.97238
34.27643, 108.97238
34.27622, 108.97238
34.27606, 108.97238
34.27591, 108.97237
34.27580, 108.97237
34.27563, 108.97237
34.27552, 108.97237
34.27542, 108.97237
34.27531, 108.97237
34.27519, 108.97237
34.27507, 108.97237
34.27489, 108.97237
34.27469, 108.97236
34.27459, 108.97236
34.27448, 108.97236
34.27437, 108.97235
34.27425, 108.97235
34.27412, 108.97235
34.27398, 108.97235
34.27387, 108.97235
34.27377, 108.97234
34.27367, 108.97234
34.27356, 108.97234
34.27342, 108.97234
34.27324, 108.97234
34.27315, 108.97234
34.27303, 108.97234
34.27292, 108.97234
34.27277, 108.97234
34.27251, 108.97232
34.27243, 108.97232
34.27227, 108.97232
34.27217, 108.97232
34.27206, 108.97232
34.27199, 108.97232
34.27189, 108.97232
34.27179, 108.97232
34.27167, 108.97232
34.27150, 108.97232
34.27135, 108.97232
34.27119, 108.97232
34.27104, 108.97232
34.27075, 108.97232
34.27061, 108.97232
34.27048, 108.97232
34.27023, 108.97232
34.27012, 108.97233
34.26994, 108.97233
34.26971, 108.97233
34.26970, 108.97233
34.26969, 108.97233
34.26957, 108.97233
34.26940, 108.97233
34.26932, 108.97233
34.26919, 108.97233
34.26902, 108.97233
34.26884, 108.97232
34.26874, 108.97231
34.26857, 108.97230
34.26840, 108.97229
34.26827, 108.97229
34.26816, 108.97228
34.26808, 108.97228
34.26792, 108.97227
34.26776, 108.97226
34.26759, 108.97225
34.26731, 108.97224
34.26721, 108.97224
34.26701, 108.97223
34.26692, 108.97223
34.26678, 108.97223
34.26668, 108.97222
34.26653, 108.97222
34.26644, 108.97222
34.26632, 108.97222
34.26618, 108.97221
34.26608, 108.97221
34.26600, 108.97221
34.26587, 108.97221
34.26580, 108.97220
34.26571, 108.97220
34.26573, 108.97220
34.26557, 108.97219
34.26541, 108.97219
34.26516, 108.97218
34.26495, 108.97218
34.26477, 108.97217
34.26460, 108.97217
34.26446, 108.97216
34.26432, 108.97216
34.26415, 108.97216
34.26400, 108.97216
34.26387, 108.97216
34.26378, 108.97216
34.26364, 108.97216
34.26347, 108.97217
34.26326, 108.97219
34.26304, 108.97220
34.26284, 108.97222
34.26263, 108.97224
34.26243, 108.97225
34.26226, 108.97221
34.26198, 108.97220
34.26165, 108.97221
34.26132, 108.97223
34.26109, 108.97225
34.26088, 108.97228
34.26073, 108.97229
34.26048, 108.97233
34.26033, 108.97236
34.26025, 108.97236
34.26012, 108.97227
34.26003, 108.97206
34.26000, 108.97176
34.26000, 108.97145
34.26000, 108.97134
34.25996, 108.97088
34.25988, 108.97068
34.25973, 108.97049
34.25957, 108.97038
34.25946, 108.97019
34.25945, 108.96993
34.25945, 108.96964
34.25945, 108.96927
34.25943, 108.96894
34.25943, 108.96865
34.25943, 108.96844
34.25943, 108.96826
34.25943, 108.96814
34.25943, 108.96800
34.25943, 108.96774
34.25943, 108.96763
34.25943, 108.96739
34.25943, 108.96726
34.25943, 108.96711
34.25943, 108.96702
34.25943, 108.96690
34.25943, 108.96658
34.25944, 108.96629
34.25944, 108.96598
34.25945, 108.96563
34.25945, 108.96530
34.25946, 108.96502
34.25947, 108.96474
34.25948, 108.96455
34.25948, 108.96440
34.25949, 108.96414
34.25950, 108.96393
34.25950, 108.96363
34.25951, 108.96339
34.25951, 108.96310
34.25952, 108.96281
34.25953, 108.96252
34.25954, 108.96217
34.25955, 108.96171
34.25957, 108.96140
34.25958, 108.96106
34.25960, 108.96073
34.25961, 108.96043
34.25961, 108.96009
34.25961, 108.95977
34.25962, 108.95946
34.25962, 108.95912
34.25962, 108.95884
34.25963, 108.95856
34.25963, 108.95827
34.25963, 108.95797
34.25964, 108.95768
34.25964, 108.95736
34.25965, 108.95706
34.25965, 108.95654
34.25965, 108.95631
34.25965, 108.95611
34.25964, 108.95590
34.25964, 108.95570
34.25964, 108.95555
34.25964, 108.95526
34.25963, 108.95506
34.25963, 108.95487
34.25963, 108.95471
34.25963, 108.95461
34.25963, 108.95451
34.25963, 108.95441
34.25963, 108.95418
34.25963, 108.95397
34.25962, 108.95367
34.25961, 108.95337
34.25961, 108.95297
34.25961, 108.95260
34.25960, 108.95215
34.25959, 108.95178
34.25958, 108.95135
34.25957, 108.95102
34.25957, 108.95071
34.25956, 108.95039
34.25955, 108.95006
34.25954, 108.94938
34.25954, 108.94909
34.25954, 108.94886
34.25954, 108.94864
34.25954, 108.94852
34.25954, 108.94841
34.25954, 108.94832
34.25953, 108.94817
34.25953, 108.94801
34.25953, 108.94789
34.25953, 108.94781
34.25956, 108.94749
34.25965, 108.94743
34.25970, 108.94739
34.25983, 108.94719
34.25995, 108.94716
34.26007, 108.94715
34.26016, 108.94715
34.26034, 108.94715
34.26057, 108.94716
34.26093, 108.94717
34.26117, 108.94717
34.26142, 108.94717
34.26169, 108.94717
34.26200, 108.94717
34.26234, 108.94717
34.26267, 108.94717
34.26297, 108.94718
34.26319, 108.94718
34.26342, 108.94719
34.26354, 108.94719
34.26377, 108.94720
34.26389, 108.94720
34.26396, 108.94720
34.26406, 108.94720
34.26414, 108.94720
34.26429, 108.94720
34.26451, 108.94707
34.26451, 108.94683
34.26451, 108.94657
34.26451, 108.94626
34.26453, 108.94587
34.26453, 108.94548
34.26453, 108.94512
34.26455, 108.94483
34.26455, 108.94469
34.26455, 108.94456
34.26455, 108.94444
