latitude,longitude
34.23218, 108.94689
34.23229, 108.94689
34.23237, 108.94689
34.23252, 108.94689
34.23291, 108.94690
34.23318, 108.94690
34.23343, 108.94690
34.23371, 108.94690
34.23393, 108.94690
34.23416, 108.94690
34.23445, 108.94691
34.23474, 108.94691
34.23504, 108.94691
34.23535, 108.94691
34.23569, 108.94691
34.23598, 108.94691
34.23620, 108.94691
34.23641, 108.94691
34.23657, 108.94691
34.23670, 108.94691
34.23688, 108.94691
34.23713, 108.94692
34.23735, 108.94692
34.23752, 108.94692
34.23772, 108.94692
34.23791, 108.94692
34.23807, 108.94692
34.23821, 108.94692
34.23836, 108.94692
34.23854, 108.94692
34.23876, 108.94692
34.23900, 108.94692
34.23929, 108.94693
34.23961, 108.94693
34.23990, 108.94693
34.24025, 108.94694
34.24058, 108.94695
34.24082, 108.94695
34.24095, 108.94695
34.24107, 108.94698
34.24114, 108.94708
34.24114, 108.94723
34.24114, 108.94747
34.24114, 108.94765
34.24114, 108.94774
34.24104, 108.94795
34.24104, 108.94812
34.24104, 108.94822
34.24104, 108.94844
34.24104, 108.94866
34.24104, 108.94897
34.24104, 108.94930
34.24104, 108.94962
34.24104, 108.94984
34.24104, 108.95006
34.24104, 108.95032
34.24104, 108.95064
34.24104, 108.95100
34.24105, 108.95154
34.24105, 108.95190
34.24105, 108.95225
34.24105, 108.95239
34.24105, 108.95248
34.24105, 108.95266
34.24105, 108.95285
34.24105, 108.95298
34.24105, 108.95310
34.24114, 108.95325
34.24114, 108.95341
34.24114, 108.95359
34.24114, 108.95376
34.24114, 108.95393
34.24114, 108.95420
34.24115, 108.95443
34.24115, 108.95465
34.24115, 108.95479
34.24116, 108.95503
34.24116, 108.95533
34.24116, 108.95561
34.24116, 108.95594
34.24116, 108.95622
34.24116, 108.95651
34.24117, 108.95689
34.24118, 108.95713
34.24118, 108.95747
34.24119, 108.95782
34.24119, 108.95821
34.24119, 108.95862
34.24120, 108.95900
34.24120, 108.95949
34.24120, 108.95967
34.24120, 108.95980
34.24120, 108.95991
34.24120, 108.96006
34.24120, 108.96021
34.24120, 108.96041
34.24120, 108.96058
34.24120, 108.96074
