latitude,longitude
34.26393, 108.98512
34.26395, 108.98524
34.26397, 108.98534
34.26399, 108.98544
34.26401, 108.98558
34.26407, 108.98586
34.26412, 108.98616
34.26414, 108.98632
34.26420, 108.98659
34.26426, 108.98685
34.26431, 108.98712
34.26436, 108.98734
34.26439, 108.98748
34.26444, 108.98771
34.26447, 108.98784
34.26449, 108.98795
34.26430, 108.98813
34.26410, 108.98813
34.26383, 108.98813
34.26366, 108.98813
34.26334, 108.98812
34.26328, 108.98812
34.26289, 108.98811
34.26261, 108.98811
34.26229, 108.98811
34.26197, 108.98810
34.26144, 108.98810
34.26094, 108.98809
34.26074, 108.98809
34.26031, 108.98808
34.26006, 108.98808
34.25977, 108.98808
34.25973, 108.98808
34.25956, 108.98819
34.25958, 108.98835
34.25959, 108.98854
34.25961, 108.98878
34.25963, 108.98898
34.25965, 108.98932
34.25968, 108.98969
34.25971, 108.99007
34.25974, 108.99047
34.25978, 108.99100
34.25979, 108.99122
34.25980, 108.99145
34.25982, 108.99174
34.25982, 108.99204
34.25983, 108.99234
34.25985, 108.99270
34.25989, 108.99332
34.25986, 108.99372
34.25988, 108.99412
34.25991, 108.99449
34.25994, 108.99484
34.25997, 108.99513
34.25999, 108.99544
34.25995, 108.99573
34.25981, 108.99598
34.25964, 108.99613
34.25952, 108.99623
34.25928, 108.99638
34.25914, 108.99646
34.25886, 108.99655
34.25861, 108.99656
34.25828, 108.99656
34.25796, 108.99656
34.25764, 108.99656
34.25746, 108.99656
34.25718, 108.99656
34.25682, 108.99657
34.25662, 108.99665
34.25639, 108.99668
34.25626, 108.99668
34.25599, 108.99669
34.25569, 108.99668
34.25552, 108.99668
34.25508, 108.99668
34.25459, 108.99658
34.25438, 108.99656
34.25394, 108.99656
34.25355, 108.99656
34.25319, 108.99656
34.25284, 108.99656
34.25263, 108.99656
34.25234, 108.99656
34.25212, 108.99656
34.25202, 108.99657
34.25106, 108.99724
34.25106, 108.99746
